Embarked,Sex,Pclass,Age,SibSp,Parch,Fare,Survived
S,male,3,22,1,0,7.25,0
C,female,1,38,1,0,71.2833,1
S,female,3,26,0,0,7.925,1
S,female,1,35,1,0,53.1,1
S,male,3,35,0,0,8.05,0
Q,male,3,,0,0,8.4583,0
S,male,1,54,0,0,51.8625,0
S,male,3,2,3,1,21.075,0
S,female,3,27,0,2,11.1333,1
C,female,2,14,1,0,30.0708,1
S,female,3,4,1,1,16.7,1
S,female,1,58,0,0,26.55,1
S,male,3,20,0,0,8.05,0
S,male,3,39,1,5,31.275,0
S,female,3,14,0,0,7.8542,0
S,female,2,55,0,0,16,1
Q,male,3,2,4,1,29.125,0
S,male,2,,0,0,13,1
S,female,3,31,1,0,18,0
C,female,3,,0,0,7.225,1
S,male,2,35,0,0,26,0
S,male,2,34,0,0,13,1
Q,female,3,15,0,0,8.0292,1
S,male,1,28,0,0,35.5,1
S,female,3,8,3,1,21.075,0
S,female,3,38,1,5,31.3875,1
C,male,3,,0,0,7.225,0
S,male,1,19,3,2,263,0
Q,female,3,,0,0,7.8792,1
S,male,3,,0,0,7.8958,0
C,male,1,40,0,0,27.7208,0
C,female,1,,1,0,146.5208,1
Q,female,3,,0,0,7.75,1
S,male,2,66,0,0,10.5,0
C,male,1,28,1,0,82.1708,0
S,male,1,42,1,0,52,0
C,male,3,,0,0,7.2292,1
S,male,3,21,0,0,8.05,0
S,female,3,18,2,0,18,0
C,female,3,14,1,0,11.2417,1
S,female,3,40,1,0,9.475,0
S,female,2,27,1,0,21,0
C,male,3,,0,0,7.8958,0
C,female,2,3,1,2,41.5792,1
Q,female,3,19,0,0,7.8792,1
S,male,3,,0,0,8.05,0
Q,male,3,,1,0,15.5,0
Q,female,3,,0,0,7.75,1
C,male,3,,2,0,21.6792,0
S,female,3,18,1,0,17.8,0
S,male,3,7,4,1,39.6875,0
S,male,3,21,0,0,7.8,0
C,female,1,49,1,0,76.7292,1
S,female,2,29,1,0,26,1
C,male,1,65,0,1,61.9792,0
S,male,1,,0,0,35.5,1
